"date","symbol","volume"
"2024-02-20","PTSP.JK","172900"
"2024-02-20","MASA.JK","24200"
"2024-02-20","PUDP.JK","7700"
"2024-02-20","PURA.JK","100"
"2024-02-20","MBAP.JK","41600"
"2024-02-20","NIRO.JK","440000"
"2024-02-20","BEER.JK","68500"
"2024-02-19","GOLD.JK","45700"
"2024-02-20","GOLD.JK","45100"
"2024-02-20","BELI.JK","2604600"
"2024-02-20","BGTG.JK","1557400"
"2024-02-20","HATM.JK","81996400"
"2024-02-20","IKBI.JK","484000"
"2024-02-20","MDLN.JK","6205400"
"2024-02-20","GOOD.JK","1014900"
"2024-02-20","MEDC.JK","32943100"
"2024-02-20","MGRO.JK","5061700"
"2024-02-20","DAYA.JK","72900"
"2024-02-19","DEAL.JK","0"
"2024-02-20","DEPO.JK","51900"
"2024-02-20","DEWI.JK","11156200"
"2024-02-20","DGIK.JK","14487800"
"2024-02-20","JAST.JK","75500"
"2024-02-20","PYFA.JK","203000"
"2024-02-20","ASII.JK","41623800"
"2024-02-20","BBHI.JK","575600"
"2024-02-20","BSBK.JK","6615400"
"2024-02-20","CASS.JK","440600"
"2024-02-20","MSKY.JK","36533100"
"2024-02-20","RAAM.JK","7957900"
"2024-02-20","MSTI.JK","1446200"
"2024-02-20","EURO.JK","25500"
"2024-02-20","AWAN.JK","130700"
"2024-02-20","DIGI.JK","2329200"
"2024-02-20","RMKO.JK","636000"
"2024-02-20","MTEL.JK","37556800"
"2024-02-20","ADRO.JK","57998500"
"2024-02-20","MYOH.JK","10000"
"2024-02-19","NATO.JK","0"
"2024-02-20","PACK.JK","269400"
"2024-02-20","SOUL.JK","9823300"
"2024-02-20","MAYA.JK","40966600"
"2024-02-20","DOID.JK","3086000"
"2024-02-20","NCKL.JK","23499400"
"2024-02-20","IMJS.JK","726400"
"2024-02-20","INAF.JK","55100"
"2024-02-20","RANC.JK","15500"
"2024-02-20","INDS.JK","17400"
"2024-02-20","ELSA.JK","11207600"
"2024-02-19","RBMS.JK","0"
"2024-02-20","INDX.JK","141900"
"2024-02-20","RDTX.JK","2100"
"2024-02-20","BDMN.JK","5181200"
"2024-02-20","MLIA.JK","5749000"
"2024-02-20","REAL.JK","8824700"
"2024-02-20","RICY.JK","286500"
"2024-02-20","ZYRX.JK","317600"
"2024-02-20","MMLP.JK","154200"
"2024-02-20","INPP.JK","523300"
"2024-02-20","RIGS.JK","21600"
"2024-02-20","SIDO.JK","161766400"
"2024-02-20","APLN.JK","5522300"
"2024-02-20","BHIT.JK","96000"
"2024-02-20","INRU.JK","70200"
"2024-02-20","INTP.JK","2384800"
"2024-02-20","GTBO.JK","551000"
"2024-02-20","OLIV.JK","149700"
"2024-02-20","ASSA.JK","4107100"
"2024-02-20","RISE.JK","83200"
"2024-02-20","MPMX.JK","21561100"
"2024-02-20","IPAC.JK","100"
"2024-02-20","DIVA.JK","39800"
"2024-02-20","RODA.JK","2100"
"2024-02-20","ACES.JK","75500900"
"2024-02-20","MYOR.JK","11428200"
"2024-02-20","IPCM.JK","240800"
"2024-02-20","NISP.JK","12833100"
"2024-02-20","NAYZ.JK","1339900"
"2024-02-20","NOBU.JK","1473800"
"2024-02-20","IPPE.JK","100"
"2024-02-20","ROTI.JK","1001200"
"2024-02-20","IRRA.JK","4935100"
"2024-02-20","ISAT.JK","2258200"
"2024-02-20","BNGA.JK","10900200"
"2024-02-20","ITIC.JK","285000"
"2024-02-20","AALI.JK","873600"
"2024-02-20","BIKA.JK","200"
"2024-02-20","ITMG.JK","1178700"
"2024-02-20","TSPC.JK","1096600"
"2024-02-20","RSGK.JK","100"
"2024-02-20","AUTO.JK","7363100"
"2024-02-20","POWR.JK","1345300"
"2024-02-20","RUIS.JK","509500"
"2024-02-20","WINR.JK","70200"
"2024-02-20","GRIA.JK","1168300"
"2024-02-20","GULA.JK","10672800"
"2024-02-20","STRK.JK","69100"
"2024-02-20","WIDI.JK","101897100"
"2024-02-20","MSIE.JK","1360200"
"2024-02-20","PADA.JK","5000"
"2024-02-20","CYBR.JK","2482700"
"2024-02-20","PTPS.JK","295228000"
"2024-02-20","GRPH.JK","2789900"
"2024-02-20","NSSS.JK","27652800"
"2024-02-20","HEAL.JK","10759400"
"2024-02-20","IMAS.JK","532300"
"2024-02-20","JATI.JK","66100"
"2024-02-20","PGEO.JK","19140000"
"2024-02-20","PMJS.JK","70000"
"2024-02-20","APEX.JK","3617200"
"2024-02-20","BIRD.JK","1320100"
"2024-02-20","PNIN.JK","259500"
"2024-02-20","RUNS.JK","8900"
"2024-02-20","PNBN.JK","855100"
"2024-02-19","POOL.JK","0"
"2024-02-20","BBYB.JK","22519000"
"2024-02-20","JAYA.JK","808200"
"2024-02-20","PTBA.JK","9295000"
"2024-02-20","ADMR.JK","48402300"
"2024-02-19","JGLE.JK","0"
"2024-02-20","BABP.JK","5171600"
"2024-02-20","SAME.JK","288300"
"2024-02-20","ASRI.JK","2740000"
"2024-02-20","JKON.JK","14292500"
"2024-02-20","SAMF.JK","281400"
"2024-02-20","BBMD.JK","200"
"2024-02-20","ABBA.JK","1629600"
"2024-02-19","ABDA.JK","0"
"2024-02-20","ADMF.JK","133900"
"2024-02-20","BEST.JK","7290800"
"2024-02-20","BJTM.JK","55016200"
"2024-02-19","JSKY.JK","0"
"2024-02-20","BLTA.JK","2200"
"2024-02-20","BMTR.JK","43324200"
"2024-02-20","ADMG.JK","253100"
"2024-02-20","DWGL.JK","39500"
"2024-02-20","SAPX.JK","9200"
"2024-02-20","BSDE.JK","4525100"
"2024-02-20","BTPS.JK","11400900"
"2024-02-20","AGRS.JK","2777100"
"2024-02-20","AGRO.JK","10552700"
"2024-02-20","SATU.JK","40545600"
"2024-02-20","SBAT.JK","20438800"
"2024-02-20","SBMA.JK","185400"
"2024-02-19","JSPT.JK","0"
"2024-02-20","JTPE.JK","22534300"
"2024-02-20","SCCO.JK","56800"
"2024-02-20","EAST.JK","156900"
"2024-02-20","SCNP.JK","27100"
